seed,n_real,n_spurious,det_8,m_8,i_8,det_12,m_12,i_12,det_20,m_20,i_20,det_30,m_30,i_30
1,4,0,1,0.08165936220752534,47.34951401528166,1,0.06881981365279895,51.43293460844448,1,0.10272070088827492,52.90408462086868,1,0.04890019749889318,46.81682785333127
2,4,0,1,0.08570699640480132,47.183236407116055,1,0.0630415780289064,43.14724405734229,1,0.09570980381389364,49.99060525043489,1,0.049428792988596974,50.984121746808405
3,4,0,1,0.08429148722525652,47.44353194677127,1,0.06857833982866325,54.16208826585199,1,0.0997493869753794,48.570240665785235,1,0.0492367447442745,44.8197990330306
4,4,0,1,0.07424009187574161,47.358899336653224,1,0.07014231434746815,46.4404878902469,1,0.09779667745843311,51.25966545261608,1,0.046781818857517206,41.638621746156275
5,4,0,1,0.07243098421856661,47.379271454530944,1,0.06765621544180993,55.042872647406966,1,0.10258835208099942,53.213247089109124,1,0.05081871855688968,49.800809882687645
6,4,0,1,0.07378144500274156,54.64011376825539,1,0.07009747600648661,42.25468163553473,1,0.10097414780147843,50.56369840899463,1,0.04666444028076926,47.134096943898804
7,4,0,1,0.07316377900317332,35.6105996268167,1,0.06472196786688239,47.58921358582589,1,0.10134888866312364,51.33578501887223,1,0.05051617314923167,53.1687168942009
8,4,0,1,0.07692135546237215,40.309978443869596,1,0.05946867779273718,42.65097330857579,1,0.09622157590555255,49.54017074074492,1,0.04885042740041747,41.89856368016948
9,4,0,1,0.08110182671686945,46.48859261911045,1,0.06665712247416172,54.529348808741304,1,0.09727521273627103,51.56298159206546,1,0.04785023239737086,47.785496550948615
10,4,0,1,0.0765349076689248,30.396883900610618,1,0.06281763911875267,52.1639388143197,1,0.10246455933444554,52.851803467447155,1,0.045774884828703996,47.45647368744199
11,4,0,1,0.0923553495433725,48.41938281134418,1,0.06783105167385614,38.30154427775266,1,0.1028841125818882,49.70867238665327,1,0.05025290770631888,52.21557808388295
12,4,0,1,0.08269757939715285,42.988119090659865,1,0.05766309563587425,38.97706307884984,1,0.10016628600630366,49.20657240054664,1,0.04884890499321283,55.16508894457444
13,4,0,1,0.08058555934784495,29.484279123837144,1,0.0625535366684594,48.73278920142229,1,0.10229793404861237,52.39123332824402,1,0.048179285710164235,49.617503081574775
14,4,0,1,0.07190648500727533,29.518827771656458,1,0.060476226521687215,46.42443672589155,1,0.09931415578601704,53.397018986403424,1,0.046852056348001575,45.81875779094923
15,4,0,1,0.07815086542752044,47.02884056053482,1,0.0686686166305343,48.537487144659536,1,0.10665134914166435,55.087040320882736,1,0.04762952834033946,45.260252784607424
16,4,0,1,0.08145031066114189,41.529733642517094,1,0.06783173338053222,47.86451914468125,1,0.0997252635341744,51.1702474540523,1,0.052905418163785974,55.45717325444447
17,4,0,1,0.07500953047823694,44.61056078229333,1,0.0664026118065099,57.6239698721416,1,0.097540384311445,46.20243188166393,1,0.04766316412122952,51.5637237482591
18,4,0,1,0.07774669784381953,37.1037729729379,1,0.06797100221614984,36.49518404109916,1,0.1048186425310483,51.4116894947657,1,0.05267398007658444,54.604182034003436
